,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOF Name,Ref Code,Application,Recommendation,Justification,Source,Original Application Name
6,6,6.0,6,Zn(LTP)2<|>complex 1,UNABAN,Photoluminescence,Recommended,Both 1 and 2 may be suitable as excellent candidates of blue fluorescent materials.,10.1021/cg1009175,Blue fluorescent materials
17,17,17.0,17,[Et3(n-Pr)P][Cd(dca)3]<|>γ-phase,YARZEZ03,Optical Devices,Recommended,The attractive switching between “SHG-on” and “SHG-off” states with a large contrast of ∼40 makes 1 a potential temperature-controlled NLO switch.,10.1021/acs.inorgchem.6b02508,Nonlinear Optical (NLO) Switch
25,25,25.0,25,[Zn(μ-adipate)(μ-bpa)]·H2O<|>compound 5,VIXVUV,Carbon Capture,Recommended,"The choice of the flexible adipate ligand for 5 strongly induced selectivity of CO2 over N2 at low temperature and pressure. Therefore, the possible transformations of structure of 5 during gas sorption were investigated.",10.1021/cg4009703,CO2 sorption
27,27,27.0,27,[NH2(CH3)2][Sm(MDIP)(H2O)]<|>compound 3,RAVDAV,Optical Devices,Investigated,"Lanthanide metal–organic frameworks (MOFs) are attracting increasing attention not only for their desirable structural features but also for their potential applications in catalysis, molecular recognition, optics and magnetics.",10.1021/cg201283a,Optics
28,28,28.0,28,[NH2(CH3)2][Yb(MDIP)(H2O)]·0.5NH(CH3)2<|>compound 10,RAVFIF,Optical Devices,Investigated,"Luminescence studies demonstrated that the semirigid carboxylate ligand is an efficient sensitizer of the luminescence of both the Tb3+ and Yb3+ ions emitting. All the reported compounds display good performance in luminescent properties, which have potential applications in optical devices.",10.1021/cg201283a,Optical devices
29,29,29.0,29,[NH2(CH3)2][Tm(MDIP)(H2O)]·0.5NH(CH3)2<|>compound 9,RAVFEB,Optical Devices,Investigated,"All the reported compounds display good performance in luminescent properties, which have potential applications in optical devices.",10.1021/cg201283a,Optical devices
30,30,30.0,30,[NH2(CH3)2][Eu(MDIP)(H2O)]<|>compound 4,RAVDEZ,Optical Devices,Investigated,"All the reported compounds display good performance in luminescent properties, which have potential applications in optical devices.",10.1021/cg201283a,Optical devices
31,31,31.0,31,[NH2(CH3)2][Tb(MDIP)(H2O)]<|>compound 6,RAVDOJ,Optical Devices,Investigated,"Luminescence studies demonstrated that the semirigid carboxylate ligand is an efficient sensitizer of the luminescence of both the Tb3+ and Yb3+ ions emitting. All the reported compounds display good performance in luminescent properties, which have potential applications in optical devices.",10.1021/cg201283a,Optical devices
32,32,32.0,32,[NH2(CH3)2][Dy(MDIP)(H2O)]<|>compound 7,RAVDUP,Optical Devices,Investigated,"Lanthanide metal–organic frameworks (MOFs) are attracting increasing attention not only for their desirable structural features but also for their potential applications in catalysis, molecular recognition, optics, and magnetics.",10.1021/cg201283a,Optics
33,33,33.0,33,[NH2(CH3)2][Er(MDIP)(H2O)]·0.5NH(CH3)2<|>compound 8,RAVFAX,Optical Devices,Investigated,"Luminescence studies demonstrated that the semirigid carboxylate ligand is an efficient sensitizer of the luminescence of both the Tb3+ and Yb3+ ions emitting. All the reported compounds display good performance in luminescent properties, which have potential applications in optical devices.",10.1021/cg201283a,Optical devices
34,34,34.0,34,[NH2(CH3)2][Gd(MDIP)(H2O)]<|>compound 5,RAVDID,Optical Devices,Investigated,"All the reported compounds display good performance in luminescent properties, which have potential applications in optical devices.",10.1021/cg201283a,Optical devices
37,37,37.0,37,ε(trim)<|>ε(trim) 4/3,IZOWAW,Electrocatalysis,Recommended,A new family of electroactive POMOFs catalysts for hydrogen evolution reaction (HER) has been evidenced... The fact that their performances exceed those of platinum might be attributed both to the structure of the POMOF and to the confinement effect.,10.1021/ja201165c,Hydrogen Evolution Reaction (HER)
38,38,38.0,38,ε2(trim)<|>ε2(trim) 2,IZOWEA,Electrocatalysis,Investigated,"The electrochemical properties of the three materials are compared, and the electrocatalytic performances of ε(trim)-based electrodes for hydrogen evolution reaction are highlighted.",10.1021/ja201165c,Hydrogen Evolution Reaction (HER)
67,67,67.0,67,[Gd2Cu6(ipO)6(H2O)12]<|>3,NUNGEK,Magnetic Refrigeration,Investigated,"When the lanthanide ion is a Gd­(III) ion with negligible magnetic anisotropy and large spin ground state, a large magnetocaloric effect (MCE) seems to be possible in the resultant CPs. The MCE is a crucial property for magnetic refrigeration, which has been proposed as a possible alternative technology for ultracold and cryogenic sensors in aerospace devices.",10.1021/acs.cgd.5b00327,Magnetic refrigeration
68,68,68.0,68,[Mn3(LMe)2(DMF)4(H2O)]·1.5DMF·3.5H2O<|>complex 1,XOTSEG,Carbon Capture,Investigated,"Although complex2displays a higher adsorption of N2and Ar corresponding to higher surface area and pore volume, H2and CO2measurements of1and2show diverse results. As is shown in Figure, complex1takes up a defined amount of hydrogen, 52.7 cm3g–1(0.47 wt %) at 77 K, 24.9 cm3g–1of carbon dioxide at 273 K.",10.1021/cg501425x,Carbon Dioxide (CO2) adsorption
69,69,69.0,69,[Mn3(LMe)2(DMF)4(H2O)]·1.5DMF·3.5H2O<|>complex 1,XOTSEG,Hydrogen Storage,Investigated,"As is shown in Figure, complex1takes up a defined amount of hydrogen, 52.7 cm3g–1(0.47 wt %) at 77 K.",10.1021/cg501425x,Hydrogen (H2) adsorption
