,MOF Name,Ref Code,Property,Value,Units,Condition,Summary,Reference
0,Al-PMOF/m8o66,HELLOW,Water Stability,Stable,,,"""Figure 3c, d shows no loss of crystallinity upon activation as well as upon exposure to different harsh conditions, including immersion in water for 7 days."" ""The ability of these materials to capture CO2 from wet flue gases is of important practical concern."" ""These results confirm the predictions of the simulations (Extended Data Fig. 7): humidity in the flue gases has only a minimal influence on the capture capacity of Al-PMOF."" ""Furthermore, repeated cycling25 (Fig. 4f) does not result in degradation of the material or a change in separation performance.""",10.1038/s41586-019-1798-7
1,Al-PyrMOF/m8o67,HELLOW,Water Stability,Stable,N/A,,"1. ""The ability of these materials to capture CO2 from wet flue gases is of important practical concern. We therefore used a breakthrough experiment to determine the capture capacity of both Al-PMOF and Al-PyrMOF for a mixture of CO2/N2 under dry- and humid-conditions24 (Fig. 4e). These results confirm the predictions of the simulations (Extended Data Fig. 7): humidity in the flue gases has only a minimal influence on the capture capacity of Al-PMOF, whereas for Al-Pyr- MOF the capture capacity is in fact enhanced. Furthermore, repeated cycling25 (Fig. 4f) does not result in degradation of the material or a change in separation performance."" 2. ""On the basis of these predictions, we synthesized two frz-based MOFs using organic ligands that possess the water-frustrating properties reported above: Al-PMOF19 (m8o66) and Al-PyrMOF (m8o67). These MOFs are based on one-dimensional rods of Al(iii) linked by TCPP (tetrakis(4-carboxyphenyl)porphyrin) and TBAPy (1,3,6,8-tetrakis (p-benzoic acid)pyrene) ligands, respectively (Fig. 3a, b). Figure 3c, d shows no loss of crystallinity upon activation as well as upon exposure to different harsh conditions, including immersion in water for 7 days.""",10.1038/s41586-019-1798-7
2,UiO-66-NH2,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information about the water stability of UiO-66-NH2. It only mentions UiO-66-NH2 in the context of comparing its capture capacity with other materials in dry flue gases, without discussing its water stability.",10.1038/s41586-019-1798-7
3,m8o71,HELLOW,Water Stability,Unstable,Not applicable,,"Conversely, m8o71 completely loses its CO2 capacity at 60% relative humidity (Fig. 2b). For m8o71 we see a complete hydrogen-bonding network (Fig. 2d), whereas for m8o67 (Fig. 2c) we observe a less extensive network; the benzoate groups that separate the adsorbaphores frustrate the formation of a complete hydrogen-bonding network.",10.1038/s41586-019-1798-7
4,[Zn4(dmf)(ur)2(ndc)4],HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of the MOF [Zn4(dmf)(ur)2(ndc)4]. There is no mention of its behavior in water or aqueous solutions, nor any details about its stability or instability in humid environments or when exposed to moisture or steam. The document focuses on the synthesis, structural characterization, and other properties of the MOF, but does not address its water stability.",10.1039/c0dt00999g
5,[Zn4(dmf)(ur)2(ndc)4].6C6H6,HELLOW,Water Stability,Not provided,N/A,,The document does not provide specific information regarding the water stability of the MOF [Zn4(dmf)(ur)2(ndc)4].6C6H6. There are no sentences that directly address its behavior in water or aqueous solutions.,10.1039/c0dt00999g
6,[Zn4(dmf)(ur)2(ndc)4].4Fe(C5H5)2,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of [Zn4(dmf)(ur)2(ndc)4].4Fe(C5H5)2. There is no mention of its behavior in water or aqueous solutions, nor any details about its stability or instability in humid environments or when exposed to moisture.",10.1039/c0dt00999g
7,[Zn4(dmf)(ur)2(ndc)4].5DMF.H2O,HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of the MOF [Zn4(dmf)(ur)2(ndc)4].5DMF.H2O. There is no mention of its behavior in water or aqueous solutions, nor any details about its stability or instability in humid environments or when exposed to moisture. The document focuses on other properties such as gas sorption, luminescence, and structural characteristics, but does not address water stability directly.",10.1039/c0dt00999g
8,"MCF-18(L,M)",HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of MCF-18(L,M). There is no mention of its behavior in water or aqueous solutions, nor any details about its solubility or structural integrity after exposure to moisture or steam.",10.1039/c3sc22222e
9,"MCF-18(L1,Co)",HELLOW,Water Stability,Not provided,N/A,,"The document does not provide specific information regarding the water stability of MCF-18(L1,Co). There are no sentences that directly address its behavior in water or aqueous solutions.",10.1039/c3sc22222e
