,MOF Name,Ref Code,Property,Value,Units,Condition,Summary,Reference
0,[HN(CH2CH2)3NH]3[Fe8(HPO4)12(PO4)2(H2O)6]<|>compound 1,NAVCAO,density,2.436,g cm⁻³,N/A,Dc/g cm23 2.436,10.1039/a700472i
1,[HN(CH2CH2)3NH]3[Fe8(HPO4)12(PO4)2(H2O)6]<|>compound 1,NAVCAO,crystal system,trigonal,N/A,N/A,"The compound crystallizes in the trigonal space group P3¯c1 (no. 165) with a = 13.5274(5), c = 19.2645(6) Å, U = 3052.9(3) Å3 and Z = 2.",10.1039/a700472i
2,[HN(CH2CH2)3NH]3[Fe8(HPO4)12(PO4)2(H2O)6]<|>compound 1,NAVCAO,cell volume,3052.9(3),Å³,N/A,"The compound crystallizes in the trigonal space group P3¯c1 (no. 165) with a = 13.5274(5), c = 19.2645(6) Å, U = 3052.9(3) Å3 and Z = 2.",10.1039/a700472i
3,[HN(CH2CH2)3NH]3[Fe8(HPO4)12(PO4)2(H2O)6]<|>compound 1,NAVCAO,space group,P3¯c1,N/A,N/A,"The compound crystallizes in the trigonal space group P3¯c1 (no. 165) with a = 13.5274(5), c = 19.2645(6) Å, U = 3052.9(3) Å3 and Z = 2.",10.1039/a700472i
4,[HN(CH2CH2)3NH]3[Fe8(HPO4)12(PO4)2(H2O)6]<|>compound 1,NAVCAO,thermal stability,27.7,%,Between room temperature and 800 °C,"The observed total weight loss of 27.7% between room temperature and 800 8C agrees well with that calculated for the loss of 15 H2O and 3 DABCO molecules (27.1%), as indicated from equation (1).",10.1039/a700472i
5,[Ag(CM-TTF)(CF3SO3)]<|>Complex 2,FEKDAA,density,1.864,g cm⁻³,Room temperature,"""Dc/g cm23 1.636 1.864 1.540""",10.1039/a804945i
6,[Ag(CM-TTF)(CF3SO3)]<|>Complex 2,FEKDAA,crystal system,Triclinic,None,Room temperature,"""Crystal system Monoclinic Triclinic Triclinic""",10.1039/a804945i
7,[Ag(CM-TTF)(CF3SO3)]<|>Complex 2,FEKDAA,cell volume,644.8(4),Å³,Room temperature,"""U/Å3 2849(1) 644.8(4) 1296(1)""",10.1039/a804945i
8,[Ag(CM-TTF)(CF3SO3)]<|>Complex 2,FEKDAA,space group,P1,None,Room temperature,"""Space group P21/c P1 P1¯""",10.1039/a804945i
9,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,crystal system,Monoclinic,N/A,Synthesized by one-pot self-assembly reaction,Crystal system | Monoclinic,10.1016/j.molstruc.2017.11.128
10,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,space group,P21/c,N/A,Synthesized by one-pot self-assembly reaction,Space group | P21/c,10.1016/j.molstruc.2017.11.128
11,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,molecular weight,320.27,g/mol,Synthesized by one-pot self-assembly reaction,The molecular weight is 320.27 g/mol.,10.1016/j.molstruc.2017.11.128
12,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,thermal stability,53.55,%,"Synthesized by one-pot self-assembly reaction, measured at 800 °C",The total mass loss in calcium trimesate synthesized by the one-pot self-assembly reaction was 53.55% while the total mass loss in the ion exchange method was 52.97% at 800 °C.,10.1016/j.molstruc.2017.11.128
13,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,surface area,1.36,m2/g,Synthesized by one-pot self-assembly reaction,The BET surface area of calcium trimesate synthesized by the one-pot self-assembly reaction is 1.36 m2/g.,10.1016/j.molstruc.2017.11.128
